,,,,,,,,,,MM,Sol,Mp,Bp,K,,,,,,,,,,,,,,,,,,,,
H3(Fe(OPh)6),Organic,0,0,H3(Fe(OPh)6),H3(Fe(OPh)6),H3(Fe(OPh)6),2,1,0.002,200,1,100,9999,600,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0x9933CC,0.9,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
CCl4,Organic,0,0,Carbon tetrachloride,CCl4,CCl4,1.58,1,0.001,153.81,0.081,-22.92,76.72,866,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag2C2,Solid,0,2,Silver acetylide,Ag2C2,Ag2C2,4.00,2,0.001,239.8,0,120,99999,500,0x999999,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化銀,硫化银,硫化銀,황화은,0,0,0,0,0,2
C2H2,Organic,Alkynes,2,Acetylene,C2H2,C2H2,1,1,0.001097,26.04,0,-80.8,-84.0,700,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
C2H2Br2,Organic,0,2,Acetylene dibromide,C2H2Br2,C2H2Br2,2.3,1,0.001,185.85,0,-80.8,110,700,0xFFFFFF,1,0xFFFFFF,0.2,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
C3H4,Organic,0,2,Propyne,C3H4,C3H4,1.0,1.1,0.530,40.07,0,-102.7,-23.2,700,0xFFFFFF,1,0xFFFFFF,0.2,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
C4H6,Organic,0,2,Butyne,C4H6,C4H6,1.0,1.2,0.680,54.09,0,-125.7,8.08,700,0xFFFFFF,1,0xFFFFFF,0.2,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
C2H4,Organic,Alkenes,2,Ethylene,C2H4,C2H4,1,1,0.001178,28.05,3.5,-169.2,-103.7,7821,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H4Br2,Organic,0,2,Ethylene dibromide,C2H4Br2,C2H4Br2,1,2.18,0.001,187.86,0.4,10.2,133,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H4Cl2,Organic,0,2,Ethylene dichloride,C2H4Cl2,C2H4Cl2,1,1.25,0.001,98.95,0.9,-35.0,84,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5OSO3H,Organic,0,2,Alkyl hydrogensulphates,C2H5OSO3H,C2H5OSO3H,1,1.36,0.001,126.13,1.0,99.0,280,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H6,Organic,0,2,Propene,C3H6,C3H6,1,1,0.001810,42.08,0.00061,-185.2,-47.6,700,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
C4H8,Organic,0,2,Butene,C4H8,C4H8,1,1,0.620000,56.11,0.62,-185.3,-6.47,700,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
CH4,Organic,Alkanes,2,Methane,CH4,CH4,0.656,0.656,0.000656,16.04,22.7,-182.5,-161.5,2099,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水,水,水,물,0,0,0,0,0,3
CH3Cl,Organic,0,2,Chloromethane,CH3Cl,CH3Cl,0.4,0.2,0.00013,50.49,0.005,-97.4,-23.8,1000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水,水,水,물,0,0,0,0,0,3
C2H6,Organic,0,2,Ethane,C2H6,C2H6,1,1,0.5446,30.07,56.8,-182.8,-88.5,1745,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5Cl,Organic,0,2,Chloroethane,C2H5Cl,C2H5Cl,1,1,0.00898,64.51,0.547,-138.7,12.27,1625,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5Br,Organic,0,2,Bromoethane,C2H5Br,C2H5Br,1,1.46,0.00146,108.97,0.914,-120.0,38.00,1625,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H2Br4,Organic,0,2,Tetrabromoethane,C2H2Br4,C2H2Br4,2.697,2.697,0.001,345.56,630,-1,243.6,700,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
C3H8,Organic,0,2,Propane,C3H8,C3H8,1,1,0.0020,44.10,47.0,-187.7,-42.0,900,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H7Br,Organic,0,2,2-bromopropane,C3H7Br,C3H7Br,1,1.31,0.001,123.00,0.3,-89.0,59,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H7Cl,Organic,0,2,2-chloropropane,C3H7Cl,C3H7Cl,1,0.86,0.001,78.54,0.3,-117.2,35.74,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C4H10,Organic,0,2,Butane,C4H10,C4H10,1,1,0.0025,58.12,6.1,-140.0,-1.0,900,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C4H9Cl,Organic,0,2,2-chlorobutane,C4H9Cl,C4H9Cl,1,0.87,0.001,92.57,0.0,-140.0,70,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
