Name,Speed,Reactants,Products,Modulus,Temps,States,Effects,Rek,Effect Color,Cata
CH4_O2,0.1,CH4-O2,CO2-H2O,1-2-1-2,Ignite,3-3,BURN3,10,0xFFFFFF,
C3H6_O2,0.1,C3H6-O2,CO2-H2O,2-9-6-2,Ignite,3-3,BURN3,8,0xFFFFFF,
C4H8_O2,0.1,C4H8-O2,CO2-H2O,1-6-4-4,Ignite,3-3,BURN3,8,0xFFFFFF,
C3H8_O2,0.1,C3H8-O2,CO2-H2O,1-5-3-4,Ignite,3-3,BURN3,8,0xFFFFFF,
C4H10_O2,0.1,C4H10-O2,CO2-H2O,2-13-8-10,Ignite,3-3,BURN3,8,0xFFFFFF,
C5H12_O2,0.1,C5H12-O2,CO2-H2O,1-8-5-6,Ignite,3-3,BURN3,8,0xFFFFFF,
AgNH32OH_HCHO,0.1,AgNH32OH-HCHO,NH42CO3-Ag-NH3-H2O,4-1-1-4-6-2,0-1000,4-4,None,0,,
AgNH32OH_CH3CHO,0.1,AgNH32OH-CH3CHO,CH3COONH4-Ag-NH3-H2O,1-2-1-2-3-1,0-1000,4-3,None,0,,
CuOH2_CH3CHO,0.1,CuOH2-CH3CHO,Cu2O-CH3COOH-H2O,2-1-1-1-1,0-1000,1-3,None,0,,
AgNH32OH_C2H2,0.1,AgNH32OH-C2H2,Ag2C2-NH3-H2O,1-2-1-4-2,0-1000,4-3,None,0,,
AgNH32OH_C6H12O6,0.1,AgNH32OH-C6H12O6,C6H15NO7-Ag-NH3-H2O,2-1-1-2-3-1,50-1000,4-4,None,0,,
CuOH2_C6H12O6,0.1,CuOH2-C6H12O6,C6H15NO7-Cu2O-H2O,2-1-1-1-2,50-1000,1-2,None,0,,
AgNO3_C2H2,0.1,AgNO3-C2H2,Ag2C2-HNO3,1-2-1-2,0-1000,4-3,None,0,,
Ag2C2,1,Ag2C2,Ag-C,1-2-2,Ignite,1,BURN1,0,0xFFFFFF,
Ag2C2_HCl,1,Ag2C2,Ag-C,1-2-2,Ignite,1,BURN1,0,0xFFFFFF,
Br2_C6H6,0.1,Br2-C6H6,HBr-C6H5Br,1-1-1-1,0-100,2-2,None,0,,Fe
C6H6_Cl2,0.1,C6H6-Cl2,C6H5Cl-HCl,1-1-1-1,0-100,2-3,None,0,,AlCl3
CH4_Cl2,0.2,CH4-Cl2,CCl4-HCl,1-1-1-1,0-100,3-3,None,0,,
CH4_F2,0.2,CH4-F2,C-HF,1-2-1-4,-100-100,3-3,EXPLODE2,0,,
C5H12_Cl2,0.2,C5H12-Cl2,C5H11Cl-HCl,1-1-1-1,0-100,2-3,None,0,,
