Chemical,Type,State,Available,RName,CName,DName,Density1,Density2,Density3,Mm,Sol,Mp,Bp,KH,color1,alpha1,color2,alpha2,color3,alpha3,color4,alpha4,friction,restitution,JPN,CHN,TW,KR,Solk,MOH,KOH,MH,PTN
H2O,Liquid,0,1,Water,H2O,H2O,0.917,1,0.001,18.02,0,0,100,0,0xFFFFFF,1,0xFFFFFF,0.1,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水,水,水,물,0,0,0,0,3
Litmus,Solution,4,1,Litmus,Litmus,Litmus,1,1,0.001,18,100,0,200,0,0xFFFFFF,1,0xFFFFFF,0.12,0x9933CC,0,0xFFFFFF,0.06,0.5,0.15,リトマス,石蕊,石蕊,리트머스,0,0,0,0,3
Ag,Solid,0,1,Silver,Ag,Ag,10.49,8.02,0.001,107.9,0,962,2162,0,0xCCC9C4,1,0xCCC9C4,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,銀,银,銀,은,0,0,0,0,2
Ag2O,Solid,0,1,Silver oxide,Ag2O,Ag2O,7.14,2,0.001,231.74,0,280,99999,0,0x3C3835,1,0x3C3835,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化銀,氧化银,氧化銀,산화은,0,0,0,0,1
Ag2S,Solid,0,1,Silver sulfide,Ag2S,Ag2S,7.23,2,0.001,247.8,0,1098,99999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化銀,硫化银,硫化銀,황화은,0,0,0,0,2
Ag2SO4,Solid,0,1,Silver sulfate,Ag2SO4,Ag2SO4,5.45,2,0.001,311.8,0.31,652,1085,1.000000E-06,0x000000,1,0x000000,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸銀,硫酸银,硫酸銀,황산은,0,0,0,0,2
AgBr,Solid,0,1,Silver bromide,AgBr,AgBr,6.473,1,0.001,187.77,0,432,1502,0,0xFFFF33,1,0xFFFF33,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,臭化銀,溴化银,溴化銀,브롬화은,1,0,0,0,2
AgCl,Solid,0,1,Silver chloride,AgCl,AgCl,5.56,2,0.001,143.3,0,455,1547,5.0000000E-07,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化銀,氯化银,氯化銀,염화은,0,0,0,0,2
AgF,Solid,0,1,Silver fluoride,AgF,AgF,5.852,1,0.001,126.87,182,435,1159,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フッ化銀,氟化银,氟化銀,플루오린화은,233,0.13187,0,0,2
AgI,Solid,0,1,Silver iodide,AgI,AgI,5.683,1,0.001,234.77,0,558,1506,0,0xFFFF33,1,0xFFFF33,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ヨウ化銀,碘化银,碘化銀,요오드화은,0,0,0,0,2
AgNH32Cl,Solid,0,0,undefined,AgNH32Cl,[Ag(NH3)2]Cl,2,0.91,0.001,177.83,100,-300,-200,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,定義されていません,未定义,未定義,,0,0,0,0,1
AgNH32OH,Solid,0,0,undefined,AgNH32OH,[Ag(NH3)2]OH,2,0.91,0.001,177.83,100,-300,-200,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,定義されていません,未定义,未定義,,0,0,0,0,1
