Name,Speed,Reactants,Products,Modulus,Temps,States,Effects,Rek,Effect Color,
HCl_NaOH,0.9,HCl-NaOH,NaCl-H2O,1-1-1-1,0-500,4-2,FIZZ,0.1,0xFFFFFF,
HCl_KOH,0.9,HCl-KOH,KCl-H2O,1-1-1-1,0-500,4-2,FIZZ,0.1,0xFFFFFF,
HCl_CaOH2,0.8,HCl-CaOH2,CaCl2-H2O,2-1-1-2,0-500,4-2,FIZZ,0.08,0xFFFFFF,
HCl_MgOH2,0.7,HCl-MgOH2,MgCl2-H2O,2-1-1-2,0-500,4-2,FIZZ,0.07,0xFFFFFF,
HCl_BaOH2,0.8,HCl-BaOH2,BaCl2-H2O,2-1-1-2,0-500,4-2,FIZZ,0.08,0xFFFFFF,
HCl_LiOH,0.9,HCl-LiOH,LiCl-H2O,1-1-1-1,0-500,4-2,FIZZ,0.1,0xFFFFFF,
HCl_RbOH,0.9,HCl-RbOH,RbCl-H2O,1-1-1-1,0-500,4-2,FIZZ,0.1,0xFFFFFF,
HCl_CsOH,0.9,HCl-CsOH,CsCl-H2O,1-1-1-1,0-500,4-2,FIZZ,0.1,0xFFFFFF,
H2SO4_NaOH,0.9,H2SO4-NaOH,Na2SO4-H2O,1-2-1-2,0-500,4-2,FIZZ,0.1,0xFFFFFF,
H2SO4_KOH,0.9,H2SO4-KOH,K2SO4-H2O,1-2-1-2,0-500,4-2,FIZZ,0.1,0xFFFFFF,
H2SO4_CaOH2,0.8,H2SO4-CaOH2,CaSO4-H2O,1-1-1-2,0-500,1-2,PRECIPITATE,0.05,0xFFFFFF,
H2SO4_MgOH2,0.7,H2SO4-MgOH2,MgSO4-H2O,1-1-1-2,0-500,4-2,FIZZ,0.07,0xFFFFFF,
H2SO4_BaOH2,0.8,H2SO4-BaOH2,BaSO4-H2O,1-1-1-2,0-500,1-2,PRECIPITATE,0.05,0xFFFFFF,
H2SO4_LiOH,0.9,H2SO4-LiOH,Li2SO4-H2O,1-2-1-2,0-500,4-2,FIZZ,0.1,0xFFFFFF,
