Name,Speed,Reactants,Products,Modulus,Temps,States,Effects,Rek,Effect Color,
Zn_CuSO4,0.4,Zn-CuSO4,ZnSO4-Cu,1-1-1-1,20-100,3-4,FALSE,5,0xCD7F32,
Fe_CuSO4,0.3,Fe-CuSO4,FeSO4-Cu,1-1-1-1,20-100,3-4,FALSE,4,0xB87333,
Mg_HCl,0.9,Mg-HCl,MgCl2-H2,1-2-1-1,20-200,1-2,BUBBLE2,8,0xFFFFFF,
Zn_HCl,0.6,Zn-HCl,ZnCl2-H2,1-2-1-1,20-200,1-2,BUBBLE2,6,0xFFFFFF,
Fe_HCl,0.5,Fe-HCl,FeCl2-H2,1-2-1-1,20-300,2-2,BUBBLE2,4,0xFFFFFF,
Na_ZnSO4,0.1,Na-ZnSO4,Na2SO4-Zn,2-1-1-1,200-500,2-3,FALSE,0.5,0xCCCCCC,
Al_Fe2O3,0.2,Al-Fe2O3,Al2O3-Fe,2-1-1-2,900-2000,3-4,FIRE3,7,0xFF4500,
Mg_O2,0.8,Mg-O2,MgO,2-1-2,400-1000,1-3,FIRE3,9,0xFFFFFF,
Ca_O2,0.7,Ca-O2,CaO,2-1-2,400-900,1-3,FIRE3,8,0xFFFFFF,
Na_O2,0.9,Na-O2,Na2O,2-1-2,200-500,1-3,FIRE3,9,0xFF0000,
K_O2,0.9,K-O2,K2O,2-1-2,200-400,1-3,FIRE3,9,0xFF6600,
Li_O2,0.8,Li-O2,Li2O,2-1-2,200-600,1-3,FIRE3,9,0xFF0000,
Zn_O2,0.5,Zn-O2,ZnO,2-1-2,400-800,1-3,FIRE3,7,0xFFFF00,
Fe_O2,0.4,Fe-O2,Fe2O3,4-3-2-3,400-900,1-4,FIRE3,6,0xCC6600,
Cu_O2,0.3,Cu-O2,CuO,2-1-2,600-1000,1-3,FIRE3,5,0x228B22,
CH4_O2,0.6,CH4-O2,CO2-H2O,1-2-1-2,200-2000,1-4,FIRE3,8,0x87CEEB,
C2H6_O2,0.6,C2H6-O2,CO2-H2O,2-3-4-6,200-2000,1-4,FIRE3,8,0x87CEEB,
C3H8_O2,0.6,C3H8-O2,CO2-H2O,1-5-3-4,200-2000,1-4,FIRE3,8,0x87CEEB,
C2H5OH_O2,0.5,C2H5OH-O2,CO2-H2O,1-3-2-3,200-1500,1-4,FIRE3,7,0x87CEEB,
CH3OH_O2,0.5,CH3OH-O2,CO2-H2O,1-1.5-1-2,200-1500,1-4,FIRE3,7,0x87CEEB,
C6H12O6_O2,0.4,C6H12O6-O2,CO2-H2O,1-6-6-6,200-2000,1-4,FIRE3,6,0x87CEEB,
C12H22O11_O2,0.4,C12H22O11-O2,CO2-H2O,2-12-12-11,200-2000,1-4,FIRE3,6,0x87CEEB,
Cl2_NaBr,0.5,Cl2-NaBr,NaCl-Br2,1-1-1-1,20-200,3-4,FALSE,5,0xFFFF00,
Br2_NaI,0.5,Br2-NaI,NaBr-I2,1-1-1-1,20-200,3-4,FALSE,5,0x800080,
Cl2_KI,0.5,Cl2-KI,KCl-I2,1-1-1-1,20-200,3-4,FALSE,5,0xFFFF00,
F2_H2O,0.9,F2-H2O,HF-O2,1-2-2-1,0-100,1-4,FALSE,10,0xFFFFFF,
KMnO4_H2C2O4,0.6,KMnO4-H2C2O4,CO2-MnO2-K2CO3-H2O,2-5-10-2-6,20-100,4-3-2-1,FALSE,7,0x800080,
KMnO4_FeSO4,0.5,KMnO4-FeSO4,Fe2(SO4)3-MnSO4-K2SO4-H2O,1-5-5-2-2-3-8,20-100,4-4-4-1,FALSE,6,0x800080,
K2Cr2O7_H2C2O4,0.4,K2Cr2O7-H2C2O4,CO2-Cr2(SO4)3-K2SO4-H2O,1-4-8-1-2-3,20-100,4-4-2-1,FALSE,5,0xFFA500,
