Chemical,Type,State,Available,RName,CName,DName,Density1,Density2,Density3,Mm,Sol,Mp,Bp,KH,color1,alpha1,color2,alpha2,color3,alpha3,color4,alpha4,friction,restitution,JPN,CHN,TW,KR,Solk,MOH,KOH,MH,PTN
Methane,Gas,0,1,Methane,Methane,Methane,0.668,1,0.001,16.04,0,-182.5,-161.5,0.1,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0.4,0.3,,,,,0,0,0,0,0
Ethane,Gas,0,1,Ethane,Ethane,Ethane,1.265,1,0.001,30.07,0,-183.3,-88.6,0.1,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0.4,0.3,,,,,0,0,0,0,0
Propane,Gas,0,1,Propane,Propane,Propane,1.867,1,0.001,44.09,0,-187.7,-42.1,0.1,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0.4,0.3,,,,,0,0,0,0,0
Butane,Gas,0,1,Butane,Butane,Butane,2.493,1,0.001,58.12,0,-138.3,-0.5,0.1,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0.4,0.3,,,,,0,0,0,0,0
Pentane,Gas,0,1,Pentane,Pentane,Pentane,0.626,1,0.001,72.15,0,-129.7,36.1,0.1,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0x87CEEB,0.6,0.4,0.3,,,,,0,0,0,0,0
Ethylene,Gas,0,1,Ethylene,Ethylene,Ethylene,0.001,1,0.001,28.05,0,-169.4,-103.7,0.1,0xB0E0E6,0.6,0xB0E0E6,0.6,0xB0E0E6,0.6,0xB0E0E6,0.6,0.4,0.3,,,,,0,0,0,0,0
Propylene,Gas,0,1,Propylene,Propylene,Propylene,0.001,1,0.001,42.08,0,-185.2,-47.6,0.1,0xB0E0E6,0.6,0xB0E0E6,0.6,0xB0E0E6,0.6,0xB0E0E6,0.6,0.4,0.3,,,,,0,0,0,0,0
Butene,Gas,0,1,Butene,Butene,Butene,0.001,1,0.001,56.11,0,-185.3,-6.4,0.1,0xB0E0E6,0.6,0xB0E0E6,0.6,0xB0E0E6,0.6,0xB0E0E6,0.6,0.4,0.3,,,,,0,0,0,0,0
Acetylene,Gas,0,1,Acetylene,Acetylene,Acetylene,0.001,1,0.001,26.04,0,-80.8,-84,0.1,0xADD8E6,0.6,0xADD8E6,0.6,0xADD8E6,0.6,0xADD8E6,0.6,0.4,0.3,,,,,0,0,0,0,0
Propyne,Gas,0,1,Propyne,Propyne,Propyne,0.001,1,0.001,40.06,0,-102.7,-23.2,0.1,0xADD8E6,0.6,0xADD8E6,0.6,0xADD8E6,0.6,0xADD8E6,0.6,0.4,0.3,,,,,0,0,0,0,0
Oxygen,Gas,0,1,Oxygen,Oxygen,Oxygen,0.001,1,0.001,32,0,-218.8,-182.9,0.1,0xADD8E6,0.7,0xADD8E6,0.7,0xADD8E6,0.7,0xADD8E6,0.7,0.4,0.3,,,,,0,0,0,0,0
Nitrogen,Gas,0,1,Nitrogen,Nitrogen,Nitrogen,0.001,1,0.001,28.02,0,-210,-195.8,0.1,0xE0FFFF,0.5,0xE0FFFF,0.5,0xE0FFFF,0.5,0xE0FFFF,0.5,0.4,0.3,,,,,0,0,0,0,0
Hydrogen,Gas,0,1,Hydrogen,Hydrogen,Hydrogen,0.001,1,0.001,2.02,0,-259.14,-252.87,0.1,0xFFFFFF,0.3,0xFFFFFF,0.3,0xFFFFFF,0.3,0xFFFFFF,0.3,0.4,0.3,,,,,0,0,0,0,0
Chlorine,Gas,0,1,Chlorine,Chlorine,Chlorine,0.003,1,0.001,70.9,0,-101.5,-34.6,0.1,0xADFF2F,0.8,0xADFF2F,0.8,0xADFF2F,0.8,0xADFF2F,0.8,0.4,0.3,,,,,0,0,0,0,0
Fluorine,Gas,0,1,Fluorine,Fluorine,Fluorine,0.002,1,0.001,38,0,-219.6,-188.1,0.1,0xFFFACD,0.7,0xFFFACD,0.7,0xFFFACD,0.7,0xFFFACD,0.7,0.4,0.3,,,,,0,0,0,0,0
Carbon Dioxide,Gas,0,1,Carbon Dioxide,Carbon Dioxide,Carbon Dioxide,0.001,1,0.001,44.01,0,-78.5,-56.6,0.1,0xF0FFFF,0.4,0xF0FFFF,0.4,0xF0FFFF,0.4,0xF0FFFF,0.4,0.4,0.3,,,,,0,0,0,0,0
Carbon Monoxide,Gas,0,1,Carbon Monoxide,Carbon Monoxide,Carbon Monoxide,0.001,1,0.001,28.01,0,-205,-191.5,0.1,0xE8F4F8,0.4,0xE8F4F8,0.4,0xE8F4F8,0.4,0xE8F4F8,0.4,0.4,0.3,,,,,0,0,0,0,0
Sulfur Dioxide,Gas,0,1,Sulfur Dioxide,Sulfur Dioxide,Sulfur Dioxide,0.003,1,0.001,64.07,0,-72.7,-10,0.1,0xFFF8DC,0.6,0xFFF8DC,0.6,0xFFF8DC,0.6,0xFFF8DC,0.6,0.4,0.3,,,,,0,0,0,0,0
Ozone,Gas,0,1,Ozone,Ozone,Ozone,0.002,1,0.001,48,0,-192.5,-111.4,0.1,0xB0E0E6,0.7,0xB0E0E6,0.7,0xB0E0E6,0.7,0xB0E0E6,0.7,0.4,0.3,,,,,0,0,0,0,0
